method,metric,mean,ci_lo,ci_hi,n
DE_top,ROC_AUC,0.8068783068783071,0.7359059376837155,0.8752157554379777,15
DE_top,PR_AUC,0.8763640226875521,0.8206055799748027,0.929193974702028,15
DE_top,MCC,0.2614842722080071,0.1046340404006253,0.4147811388942574,15
DE_top,F1,0.6368262507298715,0.5402637851185772,0.7180551020299304,15
ElasticNet,ROC_AUC,0.7917577895355675,0.7294038800705469,0.8547345679012347,15
ElasticNet,PR_AUC,0.8476089863382115,0.7787084138338924,0.911513440285464,15
ElasticNet,MCC,0.2782207870582274,0.1405561653084191,0.4143909586067265,15
ElasticNet,F1,0.6805166269445445,0.6222291648621742,0.735809335839599,15
HVG,ROC_AUC,0.688830099941211,0.5879950029394473,0.7862336860670196,15
HVG,PR_AUC,0.8347951310974188,0.7861582963220685,0.8805031843098545,15
HVG,MCC,0.2638121103987104,0.1759673666613266,0.350272301673778,15
HVG,F1,0.580462622125834,0.4776586653109232,0.6682963192202321,15
LASSO,ROC_AUC,0.776002351557907,0.7002924750146972,0.8517231040564375,15
LASSO,PR_AUC,0.8594336386976443,0.8084778084457475,0.9092489230776054,15
LASSO,MCC,0.1666902888561791,0.0410122283259422,0.3027270909680086,15
LASSO,F1,0.618702074940061,0.5337776382846748,0.691808608903174,15
QUBO,ROC_AUC,0.8150617283950617,0.7405978835978838,0.8873844797178132,15
QUBO,PR_AUC,0.8819211847045648,0.8262917322523413,0.9341755478039442,15
QUBO,MCC,0.2551359104439346,0.1265041787632426,0.3685210247853362,15
QUBO,F1,0.6365584540843662,0.5715388477752189,0.6933666384467297,15
mRMR,ROC_AUC,0.8127219282774839,0.7245141093474428,0.8929459141681364,15
mRMR,PR_AUC,0.8907373044184436,0.8432063761984981,0.9372189527218122,15
mRMR,MCC,0.282717965733203,0.1419604092405181,0.4189386056734175,15
mRMR,F1,0.6508697627733837,0.5555562867346082,0.7334977933965348,15
