K,method,roc_auc,mcc,macro_f1,within_panel_rho,n_panels
5,DE_top,0.7900646678424457,0.2425627525491475,0.494011513446296,0.3769932619218309,119
10,DE_top,0.8068783068783069,0.2614842722080071,0.5045823809459561,0.3745551280218233,119
15,DE_top,0.8032451499118166,0.2237442963353197,0.4804298112933864,0.380127496635149,119
20,DE_top,0.8017166372721929,0.2665126873548583,0.5131924855330428,0.3839908733427815,119
30,DE_top,0.7708289241622575,0.2393213099708241,0.4944436904684582,0.3862448182392982,119
50,DE_top,0.7892768959435625,0.2022601259699841,0.4650237094832599,0.3861322413997113,119
5,ElasticNet,0.8118871252204586,0.2958567088754235,0.5710728877868465,0.4774564829117447,119
10,ElasticNet,0.7917577895355673,0.2782207870582275,0.5345665052804641,0.4468026759479751,119
15,ElasticNet,0.7754262198706644,0.2246801476009944,0.499735297840561,0.4034522562711577,119
20,ElasticNet,0.7905937683715462,0.2740595730908791,0.516219054824318,0.379000229727425,119
30,ElasticNet,0.801387419165197,0.2472612990201197,0.4933204388204388,0.3385138042195458,119
50,ElasticNet,0.789970605526161,0.183148694496998,0.4480596255596255,0.3549134504212593,119
5,HVG,0.6644914756025867,0.0523852042508225,0.3271961553574825,0.4542561723808317,119
10,HVG,0.688830099941211,0.2638121103987105,0.4867850144974253,0.4649774894519969,119
15,HVG,0.7218812463256907,0.3120002309997879,0.5221849659391724,0.4642379823405415,119
20,HVG,0.7629041740152851,0.346031578127426,0.5452372322143489,0.4617043942239721,119
30,HVG,0.8290652557319224,0.3753566040783329,0.5707956977189713,0.455648699981789,119
50,HVG,0.8614814814814815,0.3295642180238243,0.5449064131851855,0.4499652761516359,119
5,LASSO,0.7796002351557907,0.237883533595076,0.4948557170010259,0.3179124396045585,119
10,LASSO,0.7760023515579071,0.1666902888561791,0.4513207344397276,0.2964533591936808,119
15,LASSO,0.7881951793062905,0.2227864272326713,0.4644686563492594,0.2989494287814837,119
20,LASSO,0.7881951793062905,0.1869967045374224,0.4464547112300511,0.3153506097657387,119
30,LASSO,0.7949676660787772,0.2151630743172853,0.4580591542437012,0.3410995192092667,119
50,LASSO,0.7880658436213992,0.2178726178974992,0.4597690240043181,0.370682225155249,119
5,QUBO,0.8009406231628453,0.2292775102561871,0.4570852633205574,0.1846575689923391,119
10,QUBO,0.8150617283950617,0.2551359104439346,0.4880273384079414,0.2467059334218974,119
15,QUBO,0.8194708994708996,0.2937557766479858,0.5263544009596641,0.2999870824803634,119
5,mRMR,0.7977895355673134,0.2466986208031967,0.4882178786126154,0.2381045384340075,119
10,mRMR,0.8127219282774838,0.282717965733203,0.5132058685694437,0.2791342772523681,119
15,mRMR,0.8174015285126397,0.3171490643254463,0.5395845885193712,0.291241030262575,119
20,mRMR,0.8098412698412698,0.2758236890238309,0.5069354961456186,0.2971495514225387,119
30,mRMR,0.7846325690770135,0.2169979533389316,0.4798069266474839,0.3073752192176432,119
50,mRMR,0.7856790123456789,0.1893017804682212,0.4487910006716037,0.3209300187804364,119
