cell_type,gene,selection_freq,n_panels
B,FKBP11,7,14
B,DNAJB11,6,14
B,IGHG2,5,14
B,TSPAN3,4,14
B,CD70,3,14
B,SRM,3,14
B,SRPRA,3,14
B,TMED10,3,14
B,TMEM167A,3,14
B,XBP1,3,14
B,AARS,2,14
B,ABRACL,2,14
B,BCL2A1,2,14
B,CCR7,2,14
B,CREB3L2,2,14
B,DPH6,2,14
B,FUT8,2,14
B,IGHG1,2,14
B,IRF4,2,14
B,MZB1,2,14
B,POLDIP2,2,14
B,SSR4,2,14
B,TBL1X,2,14
B,YIF1A,2,14
B,ZBTB20-AS5,2,14
B,ACADVL,1,14
B,C12orf42,1,14
B,CALM3,1,14
B,CCDC69,1,14
B,CD38,1,14
B,CD72,1,14
B,CEP85L,1,14
B,CEP97,1,14
B,COPG1,1,14
B,CORO1C,1,14
B,CPEB4,1,14
B,DHRS7B,1,14
B,EIF2AK3,1,14
B,EIF4EBP1,1,14
B,ENTPD1-AS1,1,14
B,FKBP2,1,14
B,GEN1,1,14
B,HAX1,1,14
B,HNRNPH1,1,14
B,HSPA5,1,14
B,IFI27L2,1,14
B,IGHA1,1,14
B,IGHG3,1,14
B,JCHAIN,1,14
B,JUND,1,14
B,KDELR1,1,14
B,KDELR2,1,14
B,KLF6,1,14
B,LAX1,1,14
B,LMAN2,1,14
B,LMO4,1,14
B,LY9,1,14
B,LY96,1,14
B,MAST4,1,14
B,MXD4,1,14
B,NBAS,1,14
B,NME1,1,14
B,P4HB,1,14
B,PAX8-AS1,1,14
B,PKHD1L1,1,14
B,PXK,1,14
B,RUVBL1,1,14
B,SAR1B,1,14
B,SEC61B,1,14
B,SGO1-AS1,1,14
B,SGPP1,1,14
B,SLC2A3,1,14
B,SMIM14,1,14
B,SNHG25,1,14
B,SOX5,1,14
B,SPCS1,1,14
B,SUB1,1,14
B,TMEM117,1,14
B,TSC22D3,1,14
B,UBE2J1,1,14
B,VAMP5,1,14
B,WARS2-AS1,1,14
B,WDR54,1,14
B,XPO1,1,14
B,Z93241.1,1,14
CD4_T,CDKN2B,6,15
CD4_T,DTNB,5,15
CD4_T,IL6ST,5,15
CD4_T,EDAR,4,15
CD4_T,FOXP3,4,15
CD4_T,OVCH1-AS1,4,15
CD4_T,AHNAK,3,15
CD4_T,ELMO1-AS1,3,15
CD4_T,FKBP5,3,15
CD4_T,HACD1,3,15
CD4_T,LPAR3,3,15
CD4_T,MAK,3,15
CD4_T,MBNL1-AS1,3,15
CD4_T,NEFL,3,15
CD4_T,PTGDR2,3,15
CD4_T,TMEM238,3,15
CD4_T,TNFSF13B,3,15
CD4_T,ABHD3,2,15
CD4_T,ALOX5,2,15
CD4_T,ANKRD55,2,15
CD4_T,GP6,2,15
CD4_T,HIST1H2BD,2,15
CD4_T,ICA1,2,15
CD4_T,IL26,2,15
CD4_T,ITFG1,2,15
CD4_T,KSR2,2,15
CD4_T,MAML2,2,15
CD4_T,MATK,2,15
CD4_T,METTL7A,2,15
CD4_T,PLEC,2,15
CD4_T,PTGIR,2,15
CD4_T,SUSD4,2,15
CD4_T,TNFRSF18,2,15
CD4_T,ARG1,1,15
CD4_T,CAB39,1,15
CD4_T,CASC4,1,15
CD4_T,CCR7,1,15
CD4_T,CDC25B,1,15
CD4_T,CHMP7,1,15
CD4_T,COL5A3,1,15
CD4_T,CRIP1,1,15
CD4_T,CTSA,1,15
CD4_T,DLEU1,1,15
CD4_T,DLGAP1,1,15
CD4_T,DPP4,1,15
CD4_T,EML2-AS1,1,15
CD4_T,F5,1,15
CD4_T,FAM118A,1,15
CD4_T,FBXO11,1,15
CD4_T,FBXO33,1,15
CD4_T,FLACC1,1,15
CD4_T,GABPB1,1,15
CD4_T,GCNT4,1,15
CD4_T,HIST1H1D,1,15
CD4_T,IL18,1,15
CD4_T,JUND,1,15
CD4_T,LEF1,1,15
CD4_T,LMOD3,1,15
CD4_T,LY86,1,15
CD4_T,LYAR,1,15
CD4_T,MMS22L,1,15
CD4_T,NME2,1,15
CD4_T,NUP210L,1,15
CD4_T,OAS1,1,15
CD4_T,PHACTR4,1,15
CD4_T,PI16,1,15
CD4_T,PROK2,1,15
CD4_T,RGS16,1,15
CD4_T,RHBDL1,1,15
CD4_T,RIC8B,1,15
CD4_T,SGPP2,1,15
CD4_T,SNHG25,1,15
CD4_T,SOX2-OT,1,15
CD4_T,SVIL,1,15
CD4_T,TNFRSF4,1,15
CD4_T,TPK1,1,15
CD4_T,TTC39C-AS1,1,15
CD4_T,VCL,1,15
CD4_T,YEATS2,1,15
CD8_T,ITGA1,11,15
CD8_T,CHI3L2,6,15
CD8_T,TNFRSF9,6,15
CD8_T,ABHD3,5,15
CD8_T,ARHGEF12,4,15
CD8_T,CRIP1,4,15
CD8_T,DSEL,4,15
CD8_T,MXI1,4,15
CD8_T,OVCH1-AS1,4,15
CD8_T,AHNAK,3,15
CD8_T,HIST1H1D,3,15
CD8_T,IL2,3,15
CD8_T,PRDM1,3,15
CD8_T,PZP,3,15
CD8_T,AGO4,2,15
CD8_T,ANGPTL1,2,15
CD8_T,C5orf17,2,15
CD8_T,DEC1,2,15
CD8_T,ESR2,2,15
CD8_T,FAM118A,2,15
CD8_T,FCRL6,2,15
CD8_T,GNPTAB,2,15
