holdout,fold,cell_type,n_screen,E_sa,E_exact,energy_gap,identical,jaccard_sa_exact,k_sa,k_exact
Pappalardo,1,B,20,-176.1875488660079,-176.18754886600777,-1.1368683772161605e-13,1,1.0,8,8
Pappalardo,1,Mono,20,-192.1479551408995,-192.14795514089943,-8.526512829121202e-14,1,1.0,9,9
Pappalardo,1,CD4_T,20,-182.3872866157124,-182.3872866157124,0.0,1,1.0,9,9
Pappalardo,1,CD8_T,20,-186.47940523417992,-186.4794052341797,-1.4210854715202006e-13,1,1.0,9,9
Pappalardo,1,NK,20,-189.11671071940407,-189.3575692369348,0.2408585175307394,0,0.8,9,9
Pappalardo,1,DC,20,-179.79033057220056,-179.7903305721999,-6.536993168992925e-13,1,1.0,9,9
Pappalardo,1,dnT,20,-189.9329684428245,-189.9329684428244,-1.1368683772161605e-13,1,1.0,9,9
Pappalardo,1,gdT,20,-190.46315186533784,-190.51348439296103,0.0503325276231692,0,0.8,9,9
Pappalardo,2,B,20,-178.5999033422682,-178.59990334226785,-3.410605131648481e-13,1,1.0,9,9
Pappalardo,2,Mono,20,-191.14199293401373,-191.14199293401376,5.684341886080804e-14,1,1.0,9,9
Pappalardo,2,CD4_T,20,-180.69049730076017,-180.69049730075983,-3.1263880373444413e-13,1,1.0,8,8
Pappalardo,2,CD8_T,20,-189.21507592068977,-189.21507592068943,-3.410605131648481e-13,1,1.0,9,9
Pappalardo,2,NK,20,-190.39797273323657,-190.4871900191441,0.089217285907523,0,0.6363636363636364,9,9
Pappalardo,2,DC,20,-173.7555280239915,-173.7555280239912,-3.1263880373444413e-13,1,1.0,8,8
Pappalardo,2,dnT,20,-183.6377998042542,-183.63779980425392,-2.842170943040401e-13,1,1.0,9,9
Pappalardo,2,gdT,20,-183.5984032073483,-183.83837851989043,0.2399753125421284,0,0.8,9,9
Pappalardo,3,B,20,-179.9817722120555,-179.981772212055,-4.831690603168681e-13,1,1.0,9,9
Pappalardo,3,Mono,20,-188.53693742865744,-188.53693742865755,1.1368683772161605e-13,1,1.0,9,9
Pappalardo,3,CD4_T,20,-183.0756112404512,-183.07561124045063,-4.831690603168681e-13,1,1.0,9,9
Pappalardo,3,CD8_T,20,-182.89889129292587,-182.8988912929251,-7.673861546209082e-13,1,1.0,9,9
Pappalardo,3,NK,20,-186.29376448213884,-186.4124484284855,0.118683946346664,0,0.5,9,9
Pappalardo,3,DC,20,-187.93400120072505,-187.934001200725,-5.684341886080804e-14,1,1.0,9,9
Pappalardo,3,dnT,20,-185.6655830233836,-185.66558302338305,-5.115907697472721e-13,1,1.0,9,9
Pappalardo,3,gdT,20,-185.9781670348068,-186.3442492838084,0.3660822490015789,0,0.6363636363636364,9,9
Pappalardo,4,B,20,-179.87055112058312,-179.87055112058246,-6.536993168992925e-13,1,1.0,9,9
Pappalardo,4,Mono,20,-188.2815230978444,-188.4816154204256,0.2000923225811561,0,0.8,9,9
Pappalardo,4,CD4_T,20,-187.21473516119164,-187.21473516119167,2.8421709430404014e-14,1,1.0,9,9
Pappalardo,4,CD8_T,20,-187.5830593058784,-187.58305930587807,-2.842170943040401e-13,1,1.0,9,9
Pappalardo,4,NK,20,-189.2142437766146,-189.21424377661447,-8.526512829121202e-14,1,1.0,9,9
Pappalardo,4,DC,20,-180.0158148582213,-180.01581485822078,-5.115907697472721e-13,1,1.0,9,9
Pappalardo,4,dnT,20,-188.24418207131103,-188.2441820713109,-1.1368683772161605e-13,1,1.0,9,9
Pappalardo,4,gdT,20,-189.7779209675816,-189.7779209675816,-5.684341886080804e-14,1,1.0,9,9
Pappalardo,5,B,20,-183.9257771063021,-183.92577710630133,-7.673861546209082e-13,1,1.0,9,9
Pappalardo,5,Mono,20,-191.3879598726563,-191.38795987265647,2.557953848736361e-13,1,1.0,9,9
Pappalardo,5,CD4_T,20,-186.31417539121728,-186.314175391217,-2.842170943040401e-13,1,1.0,9,9
Pappalardo,5,CD8_T,20,-188.116851721454,-188.1168517214536,-4.263256414560601e-13,1,1.0,9,9
Pappalardo,5,NK,20,-188.93122298127628,-188.9312229812767,4.263256414560601e-13,1,1.0,9,9
Pappalardo,5,DC,20,-175.94943162369418,-175.94943162369333,-8.526512829121202e-13,1,1.0,8,8
Pappalardo,5,dnT,20,-187.41928894760983,-187.76153101760548,0.342242069995649,0,0.5,9,9
Pappalardo,5,gdT,20,-190.06726209896453,-190.06726209896425,-2.842170943040401e-13,1,1.0,9,9
Heming,1,B,20,-185.95738515758447,-185.95738515758435,-1.1368683772161605e-13,1,1.0,9,9
Heming,1,Mono,20,-185.2853353864549,-185.28533538645493,2.8421709430404014e-14,1,1.0,9,9
Heming,1,CD4_T,20,-176.4004506738512,-176.40045067385108,-1.1368683772161605e-13,1,1.0,8,8
Heming,1,CD8_T,20,-181.0385519914198,-181.03855199141995,1.4210854715202006e-13,1,1.0,9,9
Heming,1,NK,20,-184.44766637512467,-184.447666375124,-6.821210263296962e-13,1,1.0,9,9
Heming,1,DC,20,-174.14560713928384,-174.14560713928375,-8.526512829121202e-14,1,1.0,8,8
Heming,1,dnT,20,-184.93935110001968,-184.93935110001937,-3.1263880373444413e-13,1,1.0,9,9
Heming,1,gdT,20,-186.2453203409545,-186.3512746693665,0.1059543284120252,0,0.6363636363636364,9,9
Heming,2,B,20,-177.74190876264817,-177.74190876264743,-7.389644451905042e-13,1,1.0,9,9
Heming,2,Mono,20,-188.78410061134903,-188.78410061134883,-2.273736754432321e-13,1,1.0,9,9
