method,holdout,fold,cell_type,rho
DE_top,Pappalardo,2,B,0.5373257577104087
DE_top,Pappalardo,2,CD4_T,0.5921103769980971
DE_top,Pappalardo,2,CD8_T,0.3439994595605593
DE_top,Pappalardo,2,DC,0.5932986686018454
DE_top,Pappalardo,2,Mono,0.2193630609345686
DE_top,Pappalardo,2,NK,0.2448285216594946
DE_top,Pappalardo,2,dnT,0.4276011314270967
DE_top,Pappalardo,2,gdT,0.3366892490525054
DE_top,Pappalardo,3,B,0.5883880882366478
DE_top,Pappalardo,3,CD4_T,0.6468269414052199
DE_top,Pappalardo,3,CD8_T,0.3734699399477668
DE_top,Pappalardo,3,DC,0.2982935990745569
DE_top,Pappalardo,3,Mono,0.2535769418506742
DE_top,Pappalardo,3,NK,0.2914656911397152
DE_top,Pappalardo,3,dnT,0.4366635339104469
DE_top,Pappalardo,3,gdT,0.3341664696793111
DE_top,Pappalardo,4,B,0.517465393143069
DE_top,Pappalardo,4,CD4_T,0.4256395551432764
DE_top,Pappalardo,4,CD8_T,0.281123614454028
DE_top,Pappalardo,4,DC,0.4590272390822815
DE_top,Pappalardo,4,Mono,0.3267467333897457
DE_top,Pappalardo,4,NK,0.2878242674543048
DE_top,Pappalardo,4,dnT,0.3110792569336189
DE_top,Pappalardo,4,gdT,0.2251726795181502
DE_top,Pappalardo,5,B,0.3413174374811206
DE_top,Pappalardo,5,CD4_T,0.4383005386288937
DE_top,Pappalardo,5,CD8_T,0.2939194334216926
DE_top,Pappalardo,5,DC,0.6126818304983312
DE_top,Pappalardo,5,Mono,0.2127744473576605
DE_top,Pappalardo,5,NK,0.2889532185381351
DE_top,Pappalardo,5,dnT,0.3336729110414395
DE_top,Pappalardo,5,gdT,0.2623242254524674
ElasticNet,Pappalardo,2,B,0.69757030477254
ElasticNet,Pappalardo,2,CD4_T,0.4761733801991991
ElasticNet,Pappalardo,2,CD8_T,0.3204306319941059
ElasticNet,Pappalardo,2,DC,0.5538661474451355
ElasticNet,Pappalardo,2,Mono,0.2974436196098338
ElasticNet,Pappalardo,2,NK,0.3710742148256129
ElasticNet,Pappalardo,2,dnT,0.6053902882173847
ElasticNet,Pappalardo,2,gdT,0.4103608977074982
ElasticNet,Pappalardo,3,B,0.607241086453996
ElasticNet,Pappalardo,3,CD4_T,0.5522754312437979
ElasticNet,Pappalardo,3,CD8_T,0.2999347488941295
ElasticNet,Pappalardo,3,DC,0.6436329048183957
ElasticNet,Pappalardo,3,Mono,0.3082673999096855
ElasticNet,Pappalardo,3,NK,0.4109806791698893
ElasticNet,Pappalardo,3,dnT,0.5484442659337352
ElasticNet,Pappalardo,3,gdT,0.4230220317167765
ElasticNet,Pappalardo,4,B,0.3840558221815752
ElasticNet,Pappalardo,4,CD4_T,0.4253755283772897
ElasticNet,Pappalardo,4,CD8_T,0.3758816762562713
ElasticNet,Pappalardo,4,DC,0.4271821036303024
ElasticNet,Pappalardo,4,Mono,0.2852024508832042
ElasticNet,Pappalardo,4,NK,0.4303007311782356
ElasticNet,Pappalardo,4,dnT,0.4797957703235211
ElasticNet,Pappalardo,4,gdT,0.3147434251149844
ElasticNet,Pappalardo,5,B,0.5487778116790792
ElasticNet,Pappalardo,5,CD4_T,0.6266678385698382
ElasticNet,Pappalardo,5,CD8_T,0.4262222161314584
ElasticNet,Pappalardo,5,DC,0.3804396219894684
ElasticNet,Pappalardo,5,Mono,0.2529746586998007
ElasticNet,Pappalardo,5,NK,0.3573800236778732
ElasticNet,Pappalardo,5,dnT,0.4330382827038814
ElasticNet,Pappalardo,5,gdT,0.4146549254145685
HVG,Pappalardo,2,B,0.2905655512662683
HVG,Pappalardo,2,CD4_T,0.4194926197991968
HVG,Pappalardo,2,CD8_T,0.4748552553491785
HVG,Pappalardo,2,DC,0.4721132653127666
HVG,Pappalardo,2,Mono,0.4666205904735719
HVG,Pappalardo,2,NK,0.3745073621409568
HVG,Pappalardo,2,dnT,0.4869092735746009
HVG,Pappalardo,2,gdT,0.3273330056541318
HVG,Pappalardo,3,B,0.3231595129748548
HVG,Pappalardo,3,CD4_T,0.4256560615368941
HVG,Pappalardo,3,CD8_T,0.4809227161106702
HVG,Pappalardo,3,DC,0.3228856784411199
HVG,Pappalardo,3,Mono,0.3131032864238399
HVG,Pappalardo,3,NK,0.2914881886960922
HVG,Pappalardo,3,dnT,0.6924488779439593
HVG,Pappalardo,3,gdT,0.3573774034328476
HVG,Pappalardo,4,B,0.3190866235706219
HVG,Pappalardo,4,CD4_T,0.4967015741008111
HVG,Pappalardo,4,CD8_T,0.5004972664807572
HVG,Pappalardo,4,DC,0.2632489058133526
HVG,Pappalardo,4,Mono,0.4499220422896189
HVG,Pappalardo,4,NK,0.3671659442533411
HVG,Pappalardo,4,dnT,0.4037727137501066
HVG,Pappalardo,4,gdT,0.3639334553796478
HVG,Pappalardo,5,B,0.3186939407715119
HVG,Pappalardo,5,CD4_T,0.3991973124462825
HVG,Pappalardo,5,CD8_T,0.3880833609889379
HVG,Pappalardo,5,DC,0.3440084256007125
HVG,Pappalardo,5,Mono,0.3785696766752553
HVG,Pappalardo,5,NK,0.3780589490492194
HVG,Pappalardo,5,dnT,0.6732558468190577
HVG,Pappalardo,5,gdT,0.3113730649976513
LASSO,Pappalardo,2,B,0.4222339322567139
LASSO,Pappalardo,2,CD4_T,0.3603892602285832
LASSO,Pappalardo,2,CD8_T,0.3209241602854929
LASSO,Pappalardo,2,DC,0.3536502908200162
LASSO,Pappalardo,2,Mono,0.2759341044155978
LASSO,Pappalardo,2,NK,0.2110849552735798
LASSO,Pappalardo,2,dnT,0.4135435751706342
LASSO,Pappalardo,2,gdT,0.3969863789804973
LASSO,Pappalardo,3,B,0.4176552844314137
LASSO,Pappalardo,3,CD4_T,0.3012027067549587
LASSO,Pappalardo,3,CD8_T,0.2432961091717376
LASSO,Pappalardo,3,DC,0.2821837898112066
LASSO,Pappalardo,3,Mono,0.1901649776763224
LASSO,Pappalardo,3,NK,0.3066141958594219
LASSO,Pappalardo,3,dnT,0.3342809022505293
LASSO,Pappalardo,3,gdT,0.3024135186658133
LASSO,Pappalardo,4,B,0.3719741771321616
LASSO,Pappalardo,4,CD4_T,0.2232050534380839
LASSO,Pappalardo,4,CD8_T,0.237889766046028
LASSO,Pappalardo,4,DC,0.3005370867237817
LASSO,Pappalardo,4,Mono,0.1586970717020094
LASSO,Pappalardo,4,NK,0.2234811983668301
LASSO,Pappalardo,4,dnT,0.3472442710493582
LASSO,Pappalardo,4,gdT,0.3394128229130427
LASSO,Pappalardo,5,B,0.4741316018165405
LASSO,Pappalardo,5,CD4_T,0.4379657890198759
LASSO,Pappalardo,5,CD8_T,0.2068715764653297
LASSO,Pappalardo,5,DC,0.304985064991348
LASSO,Pappalardo,5,Mono,0.1935064392746407
LASSO,Pappalardo,5,NK,0.3268647813082366
LASSO,Pappalardo,5,dnT,0.3703161739254909
LASSO,Pappalardo,5,gdT,0.2353186310433569
QUBO,Pappalardo,2,B,0.3460806003737226
QUBO,Pappalardo,2,CD4_T,0.3438702374736069
QUBO,Pappalardo,2,CD8_T,0.1679996018119657
QUBO,Pappalardo,2,DC,0.3871417521960777
QUBO,Pappalardo,2,Mono,0.1703336647927256
QUBO,Pappalardo,2,NK,0.1964569651443982
QUBO,Pappalardo,2,dnT,0.2420761224409152
QUBO,Pappalardo,2,gdT,0.2653685515824482
QUBO,Pappalardo,3,B,0.3000042710424855
QUBO,Pappalardo,3,CD4_T,0.229930800082788
QUBO,Pappalardo,3,CD8_T,0.2730762499709647
QUBO,Pappalardo,3,DC,0.2074505462101543
QUBO,Pappalardo,3,Mono,0.1756668185434173
QUBO,Pappalardo,3,NK,0.2155652874082463
QUBO,Pappalardo,3,dnT,0.2063553389528982
QUBO,Pappalardo,3,gdT,0.2241513567678611
QUBO,Pappalardo,4,B,0.3170411138317223
QUBO,Pappalardo,4,CD4_T,0.1815560932244027
