,DA_00,DA_01,DA_02,DA_03,DA_04,DA_05,DA_06,DA_07,DA_08,DA_09,DB_00,DB_01,DB_02,DB_03,DB_04,DB_05,DB_06,DB_07,DB_08,DB_09,DC_00,DC_01,DC_02,DC_03,DC_04,DC_05,DC_06,DC_07,DC_08,DC_09
XBP1,0.2489226386863669,0.3432438214832334,0.33659146069202045,0.7548066124279565,0.15722690476021434,0.8597464516489065,0.46496953927447027,2.043941696963095,2.1500213881425876,3.0459309444242475,1.8477636878000425,0.9584634756066758,1.9894041885248708,3.3347073523819164,0.5928133845475524,1.6295125429105222,0.966437100453371,3.1645579586614434,0.5119562964522998,0.7856551779954705,1.3362549323462847,1.2293532445032416,0.2693999043758821,1.3339229481128456,0.9095565011776905,0.8254733667128588,0.8831666808994235,1.19145751961909,0.23384038092927936,3.4624390012732875
MZB1,0.5020009139719277,0.16644434552510268,0.9365245010617057,3.2090801358013916,0.6604190132250737,3.459141706958329,3.474857951179588,0.5014830184398767,0.13916476999622027,0.3722661567345946,2.5855694608800035,0.5202646061258013,0.2986323704951134,0.34295510169137766,1.000144125761356,0.9793298311780414,2.0089976818061506,2.20613028037293,0.47435503532154133,0.8821378356188447,0.40367397586267795,1.059198550431534,0.39832530528560306,0.3828158386934297,5.467041151626517,1.0262497218410456,1.6728736395548114,7.6177321167182726,1.8751170027693171,0.9127309939140699
PRDM1,1.044639616386689,0.5512352699793563,2.4000048369540954,0.7678023402976707,4.096760012614261,0.7589595224195717,0.753596390401004,0.7149791338087074,1.64963673618759,1.161310205866759,2.9956041354562313,0.6423129081871258,1.2613600147419664,4.713210862959914,0.8250548998710308,1.5312589424005645,3.516639310194489,1.5569933533001328,0.6019360103125898,0.19207295320128523,6.783755896468365,1.4109333358230904,2.741274916254626,0.6831431582098108,4.28356402208873,1.5153273498881248,1.04064212931221,0.4860451525194333,1.3425191026548666,0.6775824569594513
IRF4,0.8367622127851171,0.27307503886914436,0.6754047459448739,1.1364430213642174,0.36764226190829014,1.0608995790034281,1.7000116486168875,0.7823852970456314,0.6085797422046507,0.608901143685716,2.123177621990922,0.2929937397485802,0.7863438495064891,0.714963285907209,1.1220951797815752,0.9458643914878386,0.41229963468999503,5.114458812184183,1.1526797115582996,0.3417654275577806,0.49009954283361196,1.0811960698272438,1.6329300057404126,0.34173351154554193,1.7666224429439314,0.3333262075227771,0.5296647228733492,1.9787810227719977,3.8993028604860522,0.9344788382900356
SLAMF7,0.7806480320385035,2.757485789994107,0.4241860556330605,1.2489927975760275,1.2051408616261192,2.2421997341450743,1.2698042438212007,0.80806282682039,1.6350014112672064,0.4060609979927057,1.9179581277659723,0.5838324678899327,0.4827324459986177,0.7451892156791274,1.0374866994384337,1.7655614264206425,0.8435496313108622,1.801425473430359,2.1816162231283873,0.9188732880756002,0.4560113002958154,2.0871528643318014,1.2465236511858193,0.1841223441991559,0.4535585451212984,1.1213455545203848,0.33369615639410627,0.5797628641449403,0.2540211589166528,1.379623850319426
TXNDC5,1.2131426759295483,1.1513100651753008,3.183493728452143,0.7542123369361357,0.7934663488994952,5.032609443606035,0.3532107486078986,1.7919964307126965,0.349211603301214,1.2080465473904227,5.433731507457636,1.242449482149258,0.5393135145072537,6.735370687169184,0.647227709468222,0.8479299948257273,1.2757033176119104,0.3416214049999638,2.4401966420862564,3.651215212586862,1.8349415934897255,1.3025043332330593,0.8874188925994003,2.032747783638023,0.08045456819262632,0.9050037336061127,1.227403035255689,0.204247220238147,1.4062602424600745,0.9030259506497368
TNFRSF17,0.9727260607303237,1.0844934233137546,1.5842476271801549,1.4424889136234769,0.43610092262371913,0.9106746489934081,0.8644354362020611,1.0312152393402163,0.6232091935226477,2.1725098885611254,2.8395304197193516,3.378256764735479,4.592946787714291,3.302317597095839,0.692155036929891,0.611707227087629,0.7275219209849001,1.563224750150083,0.9013474076621311,2.209739999310967,3.7445939668691888,0.708780783253494,2.1897035763231627,0.7302591337742372,0.3630560672547265,0.3623753135375706,0.7746811774208712,0.21886925129479914,1.4910020143476337,3.3486082226145246
SDC1,0.393745827345423,0.7653276212091383,3.4378512789615217,1.3202031115037682,1.1694497041060201,0.811210916477311,2.259010838945147,1.3013391714727056,0.4200631685609929,0.14289079073732533,0.11702662124062535,1.6923822606677932,0.808263157493083,3.1851641587411375,1.5038005840412887,0.3614507096415818,1.2615121828923583,2.594747674967689,0.4860686790611385,0.6656482552116659,4.026066086331107,0.24730976805616905,0.41801852440666326,2.316440855491002,1.1725684375711982,0.40092027642243944,0.312173445964512,1.4488408215791282,2.6416814430390936,1.937246451649427
IGHA1,1.389505960414241,3.308115157893848,1.2826320279648054,0.5137688637122148,5.080980783639024,0.3726024363432763,0.8979590486017088,0.9432217663460191,3.1421555031550894,0.5428280954448196,0.8014152132782636,0.2406708291025107,1.3100009252188087,1.427793134851351,1.6829392865951986,0.4764525846770152,1.2081497822069112,0.49296560370265247,0.6816117335018133,0.9390712242313058,2.8126220828092654,0.703121813540795,1.1493290261148528,0.5076579443963094,0.6321506546898177,0.5688430742298506,0.8777104279015346,1.8395049403083368,0.4110492888384272,1.7685978418515669
IGHA2,0.4643352270580557,1.2990146443241681,0.6384596678523982,0.7789616670866576,0.7248899797016622,2.3860733454463845,1.2111531433756797,2.3274885759168815,0.7358564327212318,0.8133381833328733,3.5747490098078996,0.262798127223642,0.4861808760194898,0.8511356960007562,4.213013385403071,0.6024686691707777,1.8514199697916738,3.4786959567706535,0.8116389897668673,0.8532522317681109,3.731971579752583,0.6293748949755555,0.4219284224298823,1.9009816693331154,0.6482294539681189,2.76695490097448,1.5080810223947587,0.2407664482258486,1.224655719648013,0.9886933289915439
IGHG1,0.5761057737712274,2.3699419673312487,0.2373403385039332,0.3591494484779589,0.6578743285567182,1.8459080235827534,0.28490937731999344,0.5868994450066537,0.5509558446896636,0.2911261354362769,0.7147018108766435,0.3872949689291215,0.6762515751144262,1.2201217339324375,0.46639168719936897,0.4812222147472588,0.4380943718087302,0.48936610149659027,0.27476420853397876,0.37489101144521064,1.0637001482648412,0.47736037667918246,13.291457289804782,0.5025749732380876,1.3948941904373573,0.28888681981437997,0.7787583223986849,0.6231252095075864,0.9072773010169655,2.8168873810163353
IGHG3,0.8465223531860313,0.3678206953894898,1.069056020727321,0.4479597292065085,0.884825733665861,3.519938872344047,2.104800809820899,2.348420524138454,1.5174631034840564,0.9750490916862024,0.28755608083589573,0.6785989630537016,0.6488505348535605,1.7175151121903225,2.2157899671823933,1.4664143301759691,0.5274677078452293,4.394584246357046,3.1138989561724983,0.8401977055847827,1.1708051340289782,1.6689987812626312,1.0866646670477595,0.9241984372178697,1.485179747051694,1.0083596232581793,1.1775654031974716,0.27552411463436555,0.2763543295446601,4.0263866866866005
IGHM,0.295852130219049,1.4766604149888185,1.292142347676032,1.1948336930876897,0.5741389822776194,2.2538100977359297,1.3242079511484404,0.7605382266309095,0.3244023606130893,0.832130456264489,0.619300183442093,0.36543952084665443,1.3564844997497219,1.594025386302937,1.9510448692461533,1.1044729086947975,0.8263889850702509,2.507466028196937,1.8712798303879248,6.401928440104988,1.5867987865952673,0.47987127673641194,2.205094919985904,6.59044837864485,1.2706164190487501,0.8826025177528576,0.6344662347902087,4.733477929454532,0.8842757278912791,0.8445024745648655
IGKC,1.3144895202204225,0.3300210840105255,0.8299108594914609,0.37429189181227834,0.9235446241075381,1.5435475655303348,2.180162825932695,0.7427218667138222,2.0074343102383274,0.7597506009367364,0.2764789672236776,1.6498826411584575,0.8843520430764087,1.1408745563721452,0.1280494140369545,1.2446269451481493,1.2825797455471644,1.2829351914698477,2.4282527151462276,0.7908426410578918,5.923806227388758,1.9011952349443144,1.6474109951511144,0.14410887177577267,0.21992094308416296,3.5521898055195766,1.463973834794096,2.261637940159741,0.7924968858707866,0.9786004458944463
JCHAIN,1.7299944828546139,0.5747540937125983,3.137339071323963,0.44774316676771236,1.3039988278811052,0.8820328749950573,1.4602319301122593,2.9951805687045443,0.4507543649204348,1.5960537394774086,1.225951271255553,2.1904774057952623,1.0963270917544077,0.7545949877271486,1.6745542196360004,3.2627179428748017,2.160284661168556,1.2744646078389605,1.582644194989079,0.32790867085666175,0.730963931231253,0.9212362546007454,0.7337054560590011,0.6437332823983761,1.085653806352075,1.5543916007961924,5.325197326306985,0.6433876402463479,0.5445497014828112,2.501556005803691
HSP90B1,1.2759094429471818,0.5533200964377085,3.8361248882177135,0.9530708674163282,0.8668979195390114,0.6879331414605934,0.5376498407299175,1.2167544062039004,0.5211634333773575,7.982953640015418,1.458962629333023,0.914046232477138,0.598786463250876,1.3609102249743612,2.452471465961989,1.337687308518435,0.44121192311900087,0.9127463891370361,0.28009409577371136,3.445535805071282,1.8866688363587476,1.2887118219311515,1.3787457263021508,0.6927442381540865,0.9708724465549682,2.35373479239474,1.0533012242556565,1.7475659811140773,1.3013163294993575,1.3139881184692723
DNAJB11,1.408868192786158,2.510909677168402,0.8658781884050787,1.8843566611118532,0.581859248528871,0.6883327452362903,0.6183069385301464,2.1718008995980695,0.8631721165689504,2.9337048778241157,0.487002193760982,1.5000060768218224,0.4375698876646985,2.7088692267537477,0.6341923706327024,1.5906016492994284,0.6370669764547737,0.5987697280859512,1.3394175509409092,0.27990271012318024,0.42530811112494743,3.696394607638093,0.5722203709828079,2.1183684459725347,0.5544044755224443,0.296993913114737,0.792228179111637,2.2026028219297413,1.0792019456589867,0.8695854705873368
FKBP11,2.1810611877158754,0.5991340837893128,1.9598549545318242,1.4099381179370287,0.48253692563767775,2.295397855246253,2.686274183799627,0.8995151424444562,1.2015270832609268,0.8717499078565255,0.44407008163291173,2.0483269934634456,0.4849485247351026,1.6526829989512937,0.7080736299012336,0.4757967622095833,1.7659028420369731,1.302197015258829,4.7249810914212445,1.0203065378809757,1.216444096696004,1.1841437227862621,0.8842520553721142,3.095927116101606,3.5980950797637727,1.8635947824353967,0.48332298988978895,1.5546149841150814,1.1368671041507699,0.7578888978594878
SEC11C,0.31408249853828335,2.203929339651572,2.8380071931678357,1.3946999816519894,1.565350113951286,4.437959174939534,5.113958716168022,1.2993274315780385,0.11106145855747843,1.92330608766934,1.2287562420695566,1.8809520876400432,0.719103296572032,0.48793932378093063,1.6325707743260496,0.8544028205500492,1.1773905746265128,1.5117561918253068,1.1747495200301385,0.34225641002917434,1.7070701379845163,0.7287080048044052,0.9079233765131421,1.505438848815705,0.3351304533805495,0.8634617853896405,0.2472317967283604,0.6801178218485366,1.387819226323728,0.9403301121020652
CD14,1.506758566755923,2.971698857246779,1.3527425298958973,0.5190036612589269,4.325117552095604,1.2045709378487384,1.9045197153985411,0.7293484370572475,0.7118985188806282,0.5544857702183433,0.3861552617846491,1.2316870605811558,1.1024124756923444,6.272642993705639,0.3868110172518355,1.0024047402970413,0.8430269729344806,0.9095730157919671,0.854102113997035,1.1431021906492076,3.406441341621894,0.4585303309611768,3.3280914213019543,1.3617486284140012,0.7720636000835445,0.21284819022138232,0.21794385134687408,0.8777278804820672,0.3790376386241973,0.3772908086447344
