foreground,gene_set,ref,k_overlap,K_in_universe,n_selected,N_universe,fold_enrichment,p_value,overlap_genes,q_value
All_QUBO_CSF,MS_GWAS_topHits,IMSGC 2019 (Science),9,11,448,1093,1.9961444805194806,0.006934299661250649,"BACH2, CXCR4, HLA-DPA1, HLA-DPB1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, IL7R",0.016180032542918183
All_QUBO_CSF,Type_I_IFN_signature,van Langelaar 2020 / Reactome R-HSA-913531,4,5,448,1093,1.951785714285714,0.09434224137773331,"IFITM1, IFITM3, ISG15, STAT1",0.1650989224110333
All_QUBO_CSF,MHC_II_antigen_presentation,Reactome R-HSA-2132295,10,10,448,1093,2.439732142857143,0.00012605960588790962,"CD74, CTSB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB5, IFI30",0.0008824172412153674
All_QUBO_CSF,Cytotoxic_NK_T_effectors,Standard NK/CTL effector module,11,12,448,1093,2.236421130952381,0.00038529053105771624,"CCL4, CCL5, GNLY, GZMA, GZMB, GZMK, GZMM, KLRB1, KLRC1, NKG7, PRF1",0.0013485168587020068
All_QUBO_CSF,Iron_metabolism_MSlesion,Hametner 2013 (Ann Neurol),2,3,448,1093,1.6264880952380951,0.36616546528581884,"FTH1, FTL",0.4271930428334553
All_QUBO_CSF,B_cell_panel_DMT_relevant,Ocrelizumab/rituximab target axis,3,4,448,1093,1.829799107142857,0.19034949369465043,"IGHM, IGKC, IGLC2",0.26648929117251063
All_QUBO_CSF,MS_DMT_direct_targets,MS DMT pharmacology,0,2,448,1093,0.0,1.0,,1.0
Stable_QUBO_CSF,MS_GWAS_topHits,IMSGC 2019 (Science),1,11,20,1093,4.968181818181819,0.1846104001607635,HLA-DPB1,0.25845456022506885
Stable_QUBO_CSF,Type_I_IFN_signature,van Langelaar 2020 / Reactome R-HSA-913531,1,5,20,1093,10.93,0.08835966415309462,ISG15,0.1546294122679156
Stable_QUBO_CSF,MHC_II_antigen_presentation,Reactome R-HSA-2132295,3,10,20,1093,16.395,0.0005805060059131798,"CTSB, HLA-DPB1, IFI30",0.0020317710206961296
Stable_QUBO_CSF,Cytotoxic_NK_T_effectors,Standard NK/CTL effector module,4,12,20,1093,18.21666666666667,3.6889167542684464e-05,"CCL5, GZMA, KLRB1, KLRC1",0.00025822417279879127
Stable_QUBO_CSF,Iron_metabolism_MSlesion,Hametner 2013 (Ann Neurol),2,3,20,1093,36.43333333333334,0.0009446234989498556,"FTH1, FTL",0.0022041214975496632
Stable_QUBO_CSF,B_cell_panel_DMT_relevant,Ocrelizumab/rituximab target axis,0,4,20,1093,0.0,1.0,,1.0
Stable_QUBO_CSF,MS_DMT_direct_targets,MS DMT pharmacology,0,2,20,1093,0.0,1.0,,1.0
