cohort,fold,cell_type,n_pearson,n_MI,overlap,jaccard
Pappalardo,1,B,9,10,6,0.46153846153846156
Pappalardo,1,Mono,10,10,7,0.5384615384615384
Pappalardo,1,CD4_T,10,9,5,0.35714285714285715
Pappalardo,1,CD8_T,10,9,5,0.35714285714285715
Pappalardo,1,NK,10,10,7,0.5384615384615384
Pappalardo,1,DC,10,10,6,0.42857142857142855
Pappalardo,1,dnT,10,10,6,0.42857142857142855
Pappalardo,1,gdT,10,10,8,0.6666666666666666
Pappalardo,2,B,9,9,4,0.2857142857142857
Pappalardo,2,Mono,10,10,6,0.42857142857142855
Pappalardo,2,CD4_T,10,9,7,0.5833333333333334
Pappalardo,2,CD8_T,10,10,4,0.25
Pappalardo,2,NK,9,10,6,0.46153846153846156
Pappalardo,2,DC,9,10,6,0.46153846153846156
Pappalardo,2,dnT,9,9,7,0.6363636363636364
Pappalardo,2,gdT,9,10,7,0.5833333333333334
Pappalardo,3,B,9,9,7,0.6363636363636364
Pappalardo,3,Mono,10,10,7,0.5384615384615384
Pappalardo,3,CD4_T,10,9,5,0.35714285714285715
Pappalardo,3,CD8_T,10,10,8,0.6666666666666666
Pappalardo,3,NK,9,10,7,0.5833333333333334
Pappalardo,3,DC,9,9,5,0.38461538461538464
Pappalardo,3,dnT,10,10,7,0.5384615384615384
Pappalardo,3,gdT,10,10,7,0.5384615384615384
Pappalardo,4,B,9,10,7,0.5833333333333334
Pappalardo,4,Mono,10,10,5,0.3333333333333333
Pappalardo,4,CD4_T,10,9,8,0.7272727272727273
Pappalardo,4,CD8_T,10,10,5,0.3333333333333333
Pappalardo,4,NK,9,10,6,0.46153846153846156
Pappalardo,4,DC,9,10,6,0.46153846153846156
Pappalardo,4,dnT,10,10,6,0.42857142857142855
Pappalardo,4,gdT,10,10,7,0.5384615384615384
Pappalardo,5,B,9,9,6,0.5
Pappalardo,5,Mono,10,10,7,0.5384615384615384
Pappalardo,5,CD4_T,9,10,7,0.5833333333333334
Pappalardo,5,CD8_T,10,10,6,0.42857142857142855
Pappalardo,5,NK,10,10,6,0.42857142857142855
Pappalardo,5,DC,9,10,6,0.46153846153846156
Pappalardo,5,dnT,10,10,6,0.42857142857142855
Pappalardo,5,gdT,9,10,6,0.46153846153846156
Heming,1,B,10,10,9,0.8181818181818182
Heming,1,Mono,10,10,7,0.5384615384615384
Heming,1,CD4_T,10,9,7,0.5833333333333334
Heming,1,CD8_T,10,10,8,0.6666666666666666
Heming,1,NK,10,10,7,0.5384615384615384
Heming,1,DC,9,9,6,0.5
Heming,1,dnT,10,10,6,0.42857142857142855
Heming,1,gdT,10,10,7,0.5384615384615384
Heming,2,B,9,10,7,0.5833333333333334
Heming,2,Mono,10,10,5,0.3333333333333333
Heming,2,CD4_T,10,9,6,0.46153846153846156
Heming,2,CD8_T,9,9,7,0.6363636363636364
Heming,2,NK,9,10,7,0.5833333333333334
