method,K,mean,std,count
DE_top,5,0.8429696615113281,0.022572265075929368,3
DE_top,10,0.8527006172839506,0.02179637955342466,3
DE_top,20,0.8633304504137836,0.025329657766649027,3
DE_top,30,0.8695531474698143,0.024765470610478547,3
ElasticNet,5,0.9558572446072446,0.017887899875165612,3
ElasticNet,10,0.9549557387057387,0.019761604812409395,3
ElasticNet,20,0.9667858838692172,0.013018046757290938,3
ElasticNet,30,0.9720941018857685,0.006745904904116515,3
HVG,5,0.7447558845475513,0.06311585210386111,3
HVG,10,0.7680714964048297,0.04575157051919894,3
HVG,20,0.7773778150861484,0.04555455692510683,3
HVG,30,0.7948447463030797,0.03689329861711308,3
LASSO,5,0.9724410697327364,0.013597704236671938,3
LASSO,10,0.9859288088454754,0.005036896798119493,3
LASSO,20,0.9702803215303216,0.0031545835273274953,3
LASSO,30,0.9517071123321124,0.004873427523459407,3
QUBO,5,0.8097181522181524,0.03505965537657473,3
QUBO,10,0.8003155101071768,0.018359796138668602,3
QUBO,20,0.8077355514855515,0.029253531777881082,3
QUBO,30,0.8225217066883733,0.034416548548150225,3
QUBO_consensus,5,0.8097181522181524,0.03505965537657473,3
QUBO_consensus,10,0.8003155101071768,0.018359796138668602,3
QUBO_consensus,20,0.8077355514855515,0.029253531777881082,3
QUBO_consensus,30,0.8225217066883733,0.034416548548150225,3
QUBO_hybrid,5,0.854017263600597,0.017479976567856367,3
QUBO_hybrid,10,0.8819694580111247,0.024033566785306524,3
QUBO_hybrid,20,0.8714985246235246,0.027694363929266382,3
