cohort,fold,K,method,n_cell_types,held_auc,held_ap,held_f1,held_mcc
Pappalardo,1,5,QUBO,8,0.8333333333333334,0.8350000000000001,0.7272727272727272,0.4666666666666667
Pappalardo,1,5,QUBO_hybrid,8,0.9666666666666667,0.9666666666666668,0.8333333333333333,0.6900655593423543
Pappalardo,1,10,QUBO,8,0.9333333333333333,0.942857142857143,0.8333333333333333,0.6900655593423543
Pappalardo,1,10,QUBO_hybrid,8,0.9333333333333333,0.942857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,1,15,QUBO,8,0.7666666666666667,0.8253968253968256,0.7142857142857143,0.43033148291193524
Pappalardo,1,15,QUBO_hybrid,8,0.9333333333333333,0.942857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,1,20,QUBO,8,0.9666666666666667,0.9666666666666668,0.7692307692307693,0.5590169943749475
Pappalardo,1,20,QUBO_hybrid,8,0.9,0.925,0.7142857142857143,0.43033148291193524
Pappalardo,1,30,QUBO,8,0.9666666666666667,0.9666666666666668,0.7142857142857143,0.43033148291193524
Pappalardo,1,50,QUBO,8,0.9666666666666667,0.9666666666666668,0.7692307692307693,0.5590169943749475
Pappalardo,2,5,QUBO,8,0.9,0.925,0.7272727272727272,0.4666666666666667
Pappalardo,2,5,QUBO_hybrid,8,0.8666666666666667,0.8850000000000001,0.6666666666666666,0.3105295017040594
Pappalardo,2,10,QUBO,8,1.0,1.0,0.8333333333333333,0.6900655593423543
Pappalardo,2,10,QUBO_hybrid,8,0.9666666666666667,0.9666666666666668,0.8333333333333333,0.6900655593423543
Pappalardo,2,15,QUBO,8,0.9,0.902857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,2,15,QUBO_hybrid,8,0.9333333333333333,0.9266666666666667,0.7692307692307693,0.5590169943749475
Pappalardo,2,20,QUBO,8,0.8,0.8600000000000001,0.6666666666666666,0.28867513459481287
Pappalardo,2,20,QUBO_hybrid,8,1.0,1.0,0.9090909090909091,0.8333333333333334
Pappalardo,2,30,QUBO,8,0.9333333333333333,0.9266666666666667,0.6666666666666666,0.28867513459481287
Pappalardo,2,50,QUBO,8,0.9,0.902857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,3,5,QUBO,8,0.7666666666666667,0.7544444444444445,0.625,0.0
Pappalardo,3,5,QUBO_hybrid,8,1.0,1.0,0.7142857142857143,0.43033148291193524
Pappalardo,3,10,QUBO,8,0.9666666666666667,0.9666666666666668,0.625,0.0
Pappalardo,3,10,QUBO_hybrid,8,1.0,1.0,0.7692307692307693,0.5590169943749475
Pappalardo,3,15,QUBO,8,1.0,1.0,0.6666666666666666,0.28867513459481287
Pappalardo,3,15,QUBO_hybrid,8,1.0,1.0,0.7692307692307693,0.5590169943749475
Pappalardo,3,20,QUBO,8,0.8666666666666667,0.81,0.6666666666666666,0.28867513459481287
Pappalardo,3,20,QUBO_hybrid,8,0.9666666666666667,0.9666666666666668,0.6666666666666666,0.28867513459481287
Pappalardo,3,30,QUBO,8,0.8333333333333334,0.8261904761904763,0.625,0.0
Pappalardo,3,50,QUBO,8,0.8333333333333334,0.71,0.625,0.0
Pappalardo,4,5,QUBO,8,0.8333333333333334,0.9,0.7272727272727272,0.4666666666666667
Pappalardo,4,5,QUBO_hybrid,8,0.9333333333333333,0.942857142857143,0.7142857142857143,0.43033148291193524
Pappalardo,4,10,QUBO,8,1.0,1.0,0.625,0.0
Pappalardo,4,10,QUBO_hybrid,8,1.0,1.0,0.9090909090909091,0.8333333333333334
Pappalardo,4,15,QUBO,8,0.9333333333333333,0.942857142857143,0.7692307692307693,0.5590169943749475
Pappalardo,4,15,QUBO_hybrid,8,1.0,1.0,0.9090909090909091,0.8333333333333334
Pappalardo,4,20,QUBO,8,1.0,1.0,0.8333333333333333,0.6900655593423543
Pappalardo,4,20,QUBO_hybrid,8,1.0,1.0,0.9090909090909091,0.8333333333333334
Pappalardo,4,30,QUBO,8,1.0,1.0,0.8333333333333333,0.6900655593423543
Pappalardo,4,50,QUBO,8,1.0,1.0,0.8333333333333333,0.6900655593423543
Pappalardo,5,5,QUBO,8,0.9333333333333333,0.942857142857143,0.7692307692307693,0.5590169943749475
Pappalardo,5,5,QUBO_hybrid,8,0.8666666666666667,0.9111111111111112,0.6666666666666666,0.3105295017040594
Pappalardo,5,10,QUBO,8,1.0,1.0,0.7692307692307693,0.5590169943749475
Pappalardo,5,10,QUBO_hybrid,8,0.9666666666666667,0.9666666666666668,0.9090909090909091,0.8333333333333334
Pappalardo,5,15,QUBO,8,0.9333333333333333,0.942857142857143,0.7692307692307693,0.5590169943749475
Pappalardo,5,15,QUBO_hybrid,8,1.0,1.0,0.8333333333333333,0.6900655593423543
Pappalardo,5,20,QUBO,8,0.9,0.925,0.7692307692307693,0.5590169943749475
Pappalardo,5,20,QUBO_hybrid,8,1.0,1.0,0.8333333333333333,0.6900655593423543
