tissue,method,auc_mean,auc_std,ap_mean,f1_mean,mcc_mean,n_cohorts
ALL,DE_top,0.6745561434450323,0.1374103958696762,0.7628926428466579,0.6086852361131537,0.2119979829242934,3
ALL,ElasticNet,0.7169782480893593,0.13411805107888414,0.7807565905840882,0.630546926757453,0.2679786592800351,3
ALL,HVG,0.6438800705467372,0.09485167540614022,0.7538655136836742,0.6103228304029219,0.2106855357456624,3
ALL,LASSO,0.726549088771311,0.16470962200393857,0.7642981829872587,0.6418877177572829,0.2701658757899848,3
ALL,QUBO,0.6359435626102293,0.15307310225804524,0.7348657499432476,0.5808923591028854,0.10405891909203524,3
ALL,QUBO_hybrid,0.640329218106996,0.17433800730634166,0.7207778666158685,0.6063776087460299,0.16335408643371585,3
CSF,DE_top,0.741657848324515,0.06524779969902893,0.8172897750225014,0.5783212471908125,0.0999881342681045,3
CSF,ElasticNet,0.7789300411522634,0.04115785970178008,0.8695485229315761,0.5875455067808009,0.21588495048632653,3
CSF,HVG,0.7120517342739565,0.047951460232380665,0.7970154251806912,0.5742505564610828,0.13485308829624232,3
CSF,LASSO,0.7792710170487949,0.06820410551972889,0.8557200871715344,0.6097226930201759,0.20555707975085555,3
CSF,QUBO,0.7879952968841858,0.04350466815198092,0.8462602244731096,0.634602286258633,0.25828438088498923,3
CSF,QUBO_hybrid,0.8009994121105232,0.08574155896313967,0.8657942406782276,0.6530134014592218,0.3004458297397409,3
