holdout,tissue,method,version,val_auc,val_std,held_auc,held_std,n_folds
Pappalardo,CSF,QUBO,bio,0.6166666666666666,0.22173557826083448,0.7866666666666667,0.10697871023920812,5
Pappalardo,CSF,DE_top,bio,0.7666666666666666,0.10606601717798213,0.9,0.09428090415820635,5
Pappalardo,CSF,HVG,bio,0.6933333333333332,0.12337837015547834,0.7533333333333333,0.18196458751941574,5
Pappalardo,CSF,LASSO,bio,0.5666666666666667,0.20916500663351892,0.8533333333333333,0.10697871023920809,5
Pappalardo,CSF,ElasticNet,bio,0.5666666666666667,0.20916500663351892,0.8533333333333333,0.10697871023920809,5
Pappalardo,CSF,QUBO,orig,0.7233333333333334,0.20969554650068803,0.8399999999999999,0.11879019787470312,5
Pappalardo,CSF,DE_top,orig,0.72,0.24421074687427022,0.8733333333333333,0.05962847939999432,5
Pappalardo,CSF,HVG,orig,0.7266666666666667,0.17818529681205458,0.78,0.14452988925785867,5
Pappalardo,CSF,LASSO,orig,0.6966666666666667,0.2628370851560588,0.9133333333333333,0.10434983894999017,5
Pappalardo,CSF,ElasticNet,orig,0.6966666666666667,0.2628370851560588,0.9133333333333333,0.10434983894999017,5
Pappalardo,ALL,QUBO,bio,0.6799999999999999,0.2930680618711102,0.58,0.2316606713852541,5
Pappalardo,ALL,DE_top,bio,0.7733333333333332,0.1216780816562932,0.74,0.16733200530681516,5
Pappalardo,ALL,HVG,bio,0.8133333333333332,0.0892873015731925,0.7266666666666668,0.1382429423555182,5
Pappalardo,ALL,LASSO,bio,0.7433333333333334,0.07781745019952502,0.7066666666666668,0.19061304607327736,5
Pappalardo,ALL,ElasticNet,bio,0.7433333333333334,0.07781745019952502,0.7066666666666668,0.19061304607327736,5
Pappalardo,ALL,QUBO,orig,0.7933333333333333,0.07509253550712541,0.5733333333333334,0.15165750888103105,5
Pappalardo,ALL,DE_top,orig,0.7566666666666666,0.20432816741702547,0.6799999999999999,0.17416467303484176,5
Pappalardo,ALL,HVG,orig,0.7433333333333334,0.11093040861529158,0.5733333333333334,0.1876758434701233,5
Pappalardo,ALL,LASSO,orig,0.7000000000000001,0.14907119849998596,0.72,0.16431676725154987,5
Pappalardo,ALL,ElasticNet,orig,0.7000000000000001,0.14907119849998596,0.72,0.16431676725154987,5
Heming,CSF,QUBO,bio,0.8333333333333334,0.17921510973005472,0.7333333333333332,0.12177871896945874,5
Heming,CSF,DE_top,bio,0.8333333333333334,0.15590239111558088,0.7555555555555556,0.1067026688213921,5
Heming,CSF,HVG,bio,0.8,0.2091650066335189,0.691358024691358,0.15930231976004866,5
Heming,CSF,LASSO,bio,0.8125,0.1717960677340692,0.7382716049382716,0.17727982387989027,5
Heming,CSF,ElasticNet,bio,0.8125,0.1717960677340692,0.7382716049382716,0.17727982387989027,5
Heming,CSF,QUBO,orig,0.8625,0.19960899278339142,0.7679012345679013,0.09458756202161954,5
Heming,CSF,DE_top,orig,0.85,0.13693063937629152,0.7012345679012345,0.1557709658823457,5
Heming,CSF,HVG,orig,0.8458333333333334,0.1624465724134827,0.6197530864197531,0.1257199962281577,5
Heming,CSF,LASSO,orig,0.8791666666666667,0.13043729868748774,0.7111111111111111,0.20706173428377098,5
Heming,CSF,ElasticNet,orig,0.8791666666666667,0.13043729868748774,0.7111111111111111,0.20706173428377098,5
Heming,ALL,QUBO,bio,0.8208333333333334,0.22028233146477175,0.4839506172839506,0.10082724439059466,5
Heming,ALL,DE_top,bio,0.8666666666666666,0.1542229626943479,0.4814814814814815,0.16401642290847437,5
Heming,ALL,HVG,bio,0.6958333333333333,0.16899416492227706,0.6024691358024692,0.048917562360886284,5
Heming,ALL,LASSO,bio,0.7666666666666667,0.15756392000990865,0.5925925925925926,0.05014838521380225,5
Heming,ALL,ElasticNet,bio,0.7666666666666667,0.15756392000990865,0.5925925925925926,0.05014838521380225,5
Heming,ALL,QUBO,orig,0.8333333333333334,0.17677669529663687,0.4864197530864197,0.13983899989771975,5
Heming,ALL,DE_top,orig,0.9125,0.12183492931011204,0.5530864197530864,0.10526456171502324,5
Heming,ALL,HVG,orig,0.8333333333333334,0.1317615691736825,0.4765432098765432,0.09899664294681215,5
Heming,ALL,LASSO,orig,0.9,0.10865337342004415,0.5160493827160494,0.0554869260598623,5
Heming,ALL,ElasticNet,orig,0.9,0.10865337342004415,0.5160493827160494,0.0554869260598623,5
Ramesh,CSF,QUBO,bio,0.7333333333333333,0.19002923751652298,0.7523809523809524,0.16970028267814724,5
Ramesh,CSF,DE_top,bio,0.8766666666666666,0.18544241394268168,0.7095238095238094,0.1528267289131544,5
Ramesh,CSF,HVG,bio,0.8033333333333331,0.23493497918454898,0.6476190476190476,0.21322488740226778,5
Ramesh,CSF,LASSO,bio,0.7766666666666666,0.2314207327694638,0.7095238095238096,0.18164029640724424,5
Ramesh,CSF,ElasticNet,bio,0.7766666666666666,0.2314207327694638,0.7095238095238096,0.18164029640724424,5
Ramesh,CSF,QUBO,orig,0.8399999999999999,0.1774041212098023,0.9428571428571428,0.04937247941268506,5
Ramesh,CSF,DE_top,orig,0.8533333333333332,0.18234582528810472,0.8333333333333334,0.10240863413145981,5
