gene,freq,n_celltypes
CRIP1,19,4
GZMA,16,3
TPT1,16,3
S100A4,14,5
FTL,13,5
CCL5,12,2
SRGN,11,2
JUNB,11,4
CD74,11,3
KLRB1,10,2
GNLY,10,2
LTB,10,4
IL7R,9,3
HLA-C,9,4
PTPRCAP,9,4
IL32,9,2
KLRC1,9,2
CST3,8,1
MT2A,8,2
ISG15,8,1
FTH1,8,2
SAT1,8,3
HLA-DPB1,7,2
IFI30,7,2
CD69,7,3
TMSB4X,7,3
ZFP36L2,7,5
SPINK2,7,1
TMSB10,7,3
MBNL1,6,1
HNRNPH1,6,2
ANXA1,6,3
LYZ,6,1
TUBA1B,6,3
UBASH3B,6,1
S100A6,6,3
IGHM,5,1
BTG1,5,2
GZMK,5,1
TRBC2,5,2
KLF2,5,4
TRG-AS1,5,2
SNHG5,5,3
CTSB,4,1
HLA-DRB5,4,1
NKG7,4,2
KLF6,4,2
DBI,4,1
APOLD1,4,1
CEMIP2,4,2
IER2,4,3
HLA-B,4,3
ZNF600,4,1
P2RY8,4,3
UQCRH,4,1
TXK,4,1
PARP8,4,1
SESN3,3,1
FAM117B,3,1
ZFP36L1,3,1
AHCYL2,3,2
DUSP2,3,3
FYN,3,2
S1PR4,3,1
HLA-DRA,3,1
S100A9,3,1
TRDC,3,1
SEC61B,3,1
CD44,3,1
SCIMP,3,1
CMTM7,3,1
CLIC3,3,1
ID2,3,2
SELL,3,3
CDK6,3,2
SPCS2,3,1
SH3BGRL3,3,1
COTL1,3,3
VIM,3,3
IFITM3,3,1
SYTL3,2,1
IGKV4-1,2,1
GNAQ,2,1
SSH2,2,1
IGLC2,2,1
LGALS1,2,2
GALM,2,1
ITGAE,2,1
KLRK1,2,1
LEF1,2,1
SNHG8,2,1
H1FX,2,1
SOX5,2,1
IGKC,2,1
IGHG1,2,1
HERPUD1,2,1
LAPTM5,2,2
STAT1,2,1
IFITM2,2,2
HLA-DQA1,2,1
HOPX,2,1
SMIM14,2,1
SEC61G,2,1
EIF4A1,2,1
FOXO1,2,1
CORO1B,2,1
TRGC1,2,1
CELF2,2,1
TSC22D3,2,1
OSTF1,2,2
PTPN22,2,1
CD2,2,1
TXNIP,2,1
PASK,2,1
UQCRQ,2,1
PDE3B,2,2
PDE4D,2,2
C11orf80,2,1
PDIA6,2,1
PFN1,2,1
BACH2,2,1
PRKCB,2,1
ATM,2,1
PRDX1,2,1
ARHGAP26,2,2
ARAP2,2,2
ZEB2,2,1
ZFP36,2,1
ANXA2,2,2
AKT3,2,1
AHNAK,2,1
CORO1A,2,1
NUCB2,2,1
EEF1G,2,1
DDIT4,2,1
EEF2,2,2
REL,2,1
TRBC1,2,1
EEF1B2,2,1
RABGAP1L,2,1
TPI1,2,1
NFKBIA,2,1
DOCK10,2,2
FAM30A,2,1
DAZAP1,2,1
MTSS1,2,1
CXCR4,2,1
RIN3,1,1
RASGRP3,1,1
RIPOR2,1,1
RESF1,1,1
SERP1,1,1
PPP1R18,1,1
PPP2R5C,1,1
SELENOP,1,1
RNF213,1,1
RNFT1,1,1
PRELID1,1,1
RBM26,1,1
SCFD2,1,1
PRKCQ-AS1,1,1
RANBP1,1,1
SATB1,1,1
RAD51B,1,1
PRKX,1,1
RACK1,1,1
SEC11C,1,1
